FQDN:kynubuntu24 ,,,,
ACCOUNT:Oxxo ,,,,
ACCOUNT BAMID:20072026 ,,,,
CIS Benchmark Version: 1.0.0 ,,,,
Scan Date: 2026-07-20 ,,,,
Time-Stamp: 15:18:48 ,,,,
IP-ADDRESS:172.25.52.179/20 ,,,,
OS-NAME: Ubuntu_24.04.4_LTS ,,,,
Scan Version: V1.0 ,,,,
********************************************************,,,,
SECTION-ID,SECTION-HEADING,SYSTEM-VALUE/PARAMETER,CURRENT-VALUE,TEST-RESULT
1.3.1.2,Initial Setup / Mandatory Access Control,Ensure AppArmor is enabled in the bootloader configuration.,apparmor=0 not found in grub config - AppArmor is enabled.,Yes
1.3.1.3,Initial Setup / Mandatory Access Control,Ensure all AppArmor Profiles are in enforce or complain mode.,Unconfined Profiles: 89. Processes Unconfined: 0.,No
1.4.1,Initial Setup / Configure Bootloader,Ensure bootloader password is set.,Superuser not found in bootloader file /boot/grub/grub.cfg.,No
1.4.2,Initial Setup / Configure Bootloader,Ensure access to bootloader config is configured., Permissions on /boot/grub/grub.cfg are 600 (0600 or more restrictive). Owned by root:root.,Yes
1.5.1,Initial Setup / Configure Additional Process Hardening,Ensure address space layout randomization is enabled.,kernel.randomize_va_space is not set in an included file,No
1.5.2,Initial Setup / Configure Additional Process Hardening,Ensure ptrace_scope is configured., kernel.yama.ptrace_scope is set to 1 in running config. kernel.yama.ptrace_scope found in sysctl conf: /etc/sysctl.d/10-ptrace.conf:kernel.yama.ptrace_scope = 1,Yes
1.5.3,Initial Setup / Configure Additional Process Hardening,Ensure core dumps are restricted., fs.suid_dumpable is set to 2 in running config (expected 0). fs.suid_dumpable = 0 not found in any sysctl conf file.,No
1.5.4,Initial Setup / Configure Additional Process Hardening,Ensure prelink is not installed.,prelink is not installed.,Yes
1.5.5,Initial Setup / Configure Additional Process Hardening,Ensure Automatic Error Reporting is not enabled., apport is enabled in /etc/default/apport: enabled=1 apport.service is active.,No
1.6.1,Initial Setup / Configure Command Line Warning Banners.,Ensure message of the day is configured properly,The message of the day file (/etc/motd) is empty.,No
1.6.2,Initial Setup / Configure Command Line Warning Banners.,Ensure local login warning banner is configured properly,The message reveals OS information in /etc/issue.,No
1.6.3,Initial Setup / Configure Command Line Warning Banners,Ensure remote login warning banner is configured properly.,The message reveals OS information in /etc/issue.net.,No
1.6.4,Initial Setup / Configure Command Line Warning Banners,Ensure access to /etc/motd is configured., Permissions on /etc/motd are 644 (0644 or more restrictive). Owned by root:root.,Yes
1.6.5,Initial Setup / Configure Command Line Warning Banners,Ensure access to /etc/issue is configured., Permissions on /etc/issue are 644 (0644 or more restrictive). Owned by root:root.,Yes
1.6.6,Initial Setup / Configure Command Line Warning Banners,Ensure access to /etc/issue.net is configured., Permissions on /etc/issue.net are 644 (0644 or more restrictive). Owned by root:root.,Yes
1.7.2,Initial Setup / Configure GNOME Display Manager,Ensure GDM login banner is configured.,GDM login banner is configured.,Yes
1.7.3,Initial Setup / Configure GNOME Display Manager,Ensure GDM disable-user-list option is enabled.,GDM disable-user-list is not configured,Yes
1.7.4,Initial Setup / Configure GNOME Display Manager,Ensure GDM screen locks when the user is idle.,GDM screen locks when the user is idle.,Yes
1.7.5,Initial Setup / Configure GNOME Display Manager,Ensure GDM screen locks cannot be overridden.,GDM screen locks cannot be overridden.,Yes
1.7.6,Initial Setup / Configure GNOME Display Manager,Ensure GDM automatic mounting of removable media is disabled.,GDM automatic mounting of removable media is disabled.,Yes
1.7.7,Initial Setup / Configure GNOME Display Manager,Ensure GDM disabling automatic mounting of removable media is not overridden.,GDM disabling automatic mounting of removable media is not overridden.,Yes
1.7.8,Initial Setup / Configure GNOME Display Manager,Ensure GDM autorun-never is enabled.,GDM autorun-never is enabled.,Yes
1.7.9,Initial Setup / Configure GNOME Display Manager,Ensure GDM autorun-never is not overridden.,GDM autorun-never is not overridden.,Yes
1.7.10,Initial Setup / Configure GNOME Display Manager,Ensure XDMCP is not enabled.,XDMCP is not enabled.,Yes
2.1.1,Services / Configure Server Services,Ensure autofs services are not in use.,autofs package is not installed.,Yes
2.1.2,Services / Configure Server Services,Ensure avahi daemon services are not in use.,avahi-daemon package is not installed.,Yes
2.1.3,Services / Configure Server Services,Ensure dhcp server services are not in use.,isc-dhcp-server package is not installed.,Yes
2.1.4,Services / Configure Server Services,Ensure dns server services are not in use., bind9 package is not installed.,Yes
2.1.5,Services / Configure Server Services,Ensure dnsmasq services are not in use., dnsmasq package is not installed.,Yes
2.1.6,Services / Configure Server Services,Ensure ftp server services are not in use., vsftpd.service is not enabled. vsftpd.service is not active.,Yes
2.1.7,Services / Configure Server Services,Ensure ldap server services are not in use., slapd package is not installed.,Yes
2.1.8,Services / Configure Server Services,Ensure message access server services are not in use., dovecot-imapd and dovecot-pop3d packages are not installed.,Yes
2.1.9,Services / Configure Server Services,Ensure network file system services are not in use., nfs-kernel-server package is not installed.,Yes
2.1.10,Services / Configure Server Services,Ensure nis server services are not in use., ypserv package is not installed.,Yes
2.1.11,Services / Configure Server Services,Ensure print server services are not in use., cups package is not installed.,Yes
2.1.12,Services / Configure Server Services,Ensure rpcbind services are not in use., rpcbind package is not installed.,Yes
2.1.13,Services / Configure Server Services,Ensure rsync services are not in use., rsync.service is not enabled. rsync.service is not active.,Yes
2.1.14,Services / Configure Server Services,Ensure samba file server services are not in use., samba package is not installed.,Yes
2.1.15,Services / Configure Server Services,Ensure snmp services are not in use., snmpd package is not installed.,Yes
2.1.16,Services / Configure Server Services,Ensure tftp server services are not in use., tftpd-hpa package is not installed.,Yes
2.1.17,Services / Configure Server Services,Ensure web proxy server services are not in use., squid package is not installed.,Yes
2.1.18,Services / Configure Server Services,Ensure web server services are not in use., apache2 package is not installed. nginx package is not installed.,Yes
2.1.19,Services / Configure Server Services,Ensure xinetd services are not in use., xinetd package is not installed.,Yes
2.1.21,Services / Configure Server Services,Ensure mail transfer agents are configured for local-only mode.,"MTA is configured for local-only mode.  - Port ""25"" is not listening on a non-loopback network interface  - Port ""465"" is not listening on a non-loopback network interface  - Port ""587"" is not listening on a non-loopback network interface  - MTA not detected or in use",Yes
2.2.1,Services / Configure Client Services,Ensure NIS Client is not installed.,Compliant: NIS client (nis) package is not installed.,Yes
2.2.2,Services / Configure Client Services,Ensure rsh client is not installed.,Compliant: rsh client (rsh-client) package is not installed.,Yes
2.2.3,Services / Configure Client Services,Ensure talk client is not installed.,talk client service is not installed.,Yes
2.2.4,Services / Configure Client Services,Ensure telnet client is not installed.,telnet client service is installed.,No
2.2.5,Services / Configure Client Services,Ensure LDAP client is not installed.,LDAP client service is not installed.,Yes
2.2.6,Services / Configure Client Services,Ensure ftp client is not installed., ftp/tnftp client is installed.,No
2.3.1.1,Services / Configure Time Synchronization,Ensure a single time synchronization daemon is in use.,Multiple time synchronization daemon is in use.Please check..,No
2.3.2.1,Services / Configure Time Synchronization,Ensure systemd-timesyncd configured with authorized timeserver., NTP is not configured in /etc/systemd/timesyncd.conf. FallbackNTP is not configured in /etc/systemd/timesyncd.conf.,No
2.3.2.2,Services / Configure Time Synchronization,Ensure systemd-timesyncd is enabled and running.,systemd-timesyncd is enabled and running.,Yes
2.3.3.1,Services / Configure Time Synchronization,Ensure chrony is configured with authorized timeserver., No server or pool directive found in /etc/chrony/chrony.conf.,No
2.3.3.2,Services / Configure Time Synchronization,Ensure chrony is running as user _chrony.,chrony is running as user _chrony.,Yes
2.3.3.3,Services / Configure Time Synchronization,Ensure chrony is enabled and running.,chrony is Not enabled or running.Please check..,No
2.4.1.1,Services / Job Schedulers,Ensure cron daemon is enabled and active., cron is enabled. cron is active.,Yes
2.4.1.2,Services / Job Schedulers,Ensure permissions on /etc/crontab are configured.,Permissions on /etc/crontab are NOT configured correctly.,No
2.4.1.3,Services / Job Schedulers,Ensure permissions on /etc/cron.hourly are configured.,Permissions on /etc/cron.hourly are NOT configured correctly.,No
2.4.1.4,Services / Job Schedulers,Ensure permissions on /etc/cron.daily are configured.,Permissions on /etc/cron.daily are NOT configured correctly.,No
2.4.1.5,Services / Job Schedulers,Ensure permissions on /etc/cron.weekly are configured.,Permissions on /etc/cron.weekly/ are NOT configured correctly.,No
2.4.1.6,Services / Job Schedulers,Ensure permissions on /etc/cron.monthly are configured.,Permissions on /etc/cron.monthly are NOT configured correctly.,No
2.4.1.7,Services / Job Schedulers,Ensure permissions on /etc/cron.d are configured,Permissions on /etc/cron.d are NOT configured correctly,No
2.4.1.8,Services / Job Schedulers,Ensure crontab is restricted to authorized users,/etc/cron.allow non-compliant (bad:mode=644 (>0640);); /etc/cron.deny non-compliant (bad:mode=644 (>0640);); ,No
2.4.2.1,Services / Job Schedulers,Ensure at is restricted to authorized users., /etc/at.allow exists with correct permissions (640) owner root group root. /etc/at.deny exists with correct permissions (640) owner root group root.,Yes
3.1.2,Network / Configure Network Devices,Ensure wireless interfaces are disabled.,System has no wireless NICs installed.,Yes
3.1.3,Network / Configure Network Devices,Ensure bluetooth services are not in use.,bluez package is not installed (compliant).,Yes
3.3.1,Network Configuration / Network Kernel Parameters,Ensure ip forwarding is disabled.," - ""net.ipv4.ip_forward"" is not set in an included file ** Note: ""net.ipv4.ip_forward"" May be set in a file that's ignored by load procedure **  - ""net.ipv6.conf.all.forwarding"" is not set in an included file ** Note: ""net.ipv6.conf.all.forwarding"" May be set in a file that's ignored by load procedure **",No
3.3.2,Network Configuration / Network Kernel Parameters,Ensure packet redirect sending is disabled.," - ""net.ipv4.conf.all.send_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.all.send_redirects"" is not set in an included file ** Note: ""net.ipv4.conf.all.send_redirects"" May be set in a file that's ignored by load procedure **  - ""net.ipv4.conf.default.send_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.default.send_redirects"" is not set in an included file ** Note: ""net.ipv4.conf.default.send_redirects"" May be set in a file that's ignored by load procedure **",No
3.3.3,Network Configuration / Network Kernel Parameters,Ensure bogus icmp responses are ignored.," - ""net.ipv4.icmp_ignore_bogus_error_responses"" is not set in an included file ** Note: ""net.ipv4.icmp_ignore_bogus_error_responses"" May be set in a file that's ignored by load procedure **",No
3.3.4,Network Configuration / Network Kernel Parameters,Ensure broadcast icmp requests are ignored.," - ""net.ipv4.icmp_echo_ignore_broadcasts"" is not set in an included file ** Note: ""net.ipv4.icmp_echo_ignore_broadcasts"" May be set in a file that's ignored by load procedure **",No
3.3.5,Network Configuration / Network Kernel Parameters,Ensure icmp redirects are not accepted.," - ""net.ipv4.conf.all.accept_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.all.accept_redirects"" is not set in an included file ** Note: ""net.ipv4.conf.all.accept_redirects"" May be set in a file that's ignored by load procedure **  - ""net.ipv4.conf.default.accept_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.default.accept_redirects"" is not set in an included file ** Note: ""net.ipv4.conf.default.accept_redirects"" May be set in a file that's ignored by load procedure **  - ""net.ipv6.conf.all.accept_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv6.conf.all.accept_redirects"" is not set in an included file ** Note: ""net.ipv6.conf.all.accept_redirects"" May be set in a file that's ignored by load procedure **  - ""net.ipv6.conf.default.accept_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv6.conf.default.accept_redirects"" is not set in an included file ** Note: ""net.ipv6.conf.default.accept_redirects"" May be set in a file that's ignored by load procedure **",No
3.3.6,Network Configuration / Network Kernel Parameters,Ensure secure icmp redirects are not accepted.," - ""net.ipv4.conf.all.secure_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.all.secure_redirects"" is not set in an included file ** Note: ""net.ipv4.conf.all.secure_redirects"" May be set in a file that's ignored by load procedure **  - ""net.ipv4.conf.default.secure_redirects"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.default.secure_redirects"" is not set in an included file ** Note: ""net.ipv4.conf.default.secure_redirects"" May be set in a file that's ignored by load procedure **",No
3.3.7,Network Configuration / Network Kernel Parameters,Ensure reverse path filtering is enabled.," - ""net.ipv4.conf.all.rp_filter"" is incorrectly set to ""2"" in the running configuration and should have a value of: ""1""  - ""net.ipv4.conf.default.rp_filter"" is incorrectly set to ""2"" in the running configuration and should have a value of: ""1""",No
3.3.8,Network Configuration / Network Kernel Parameters,Ensure source routed packets are not accepted.," - ""net.ipv4.conf.all.accept_source_route"" is not set in an included file ** Note: ""net.ipv4.conf.all.accept_source_route"" May be set in a file that's ignored by load procedure **  - ""net.ipv4.conf.default.accept_source_route"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv4.conf.default.accept_source_route"" is not set in an included file ** Note: ""net.ipv4.conf.default.accept_source_route"" May be set in a file that's ignored by load procedure **  - ""net.ipv6.conf.all.accept_source_route"" is not set in an included file ** Note: ""net.ipv6.conf.all.accept_source_route"" May be set in a file that's ignored by load procedure **  - ""net.ipv6.conf.default.accept_source_route"" is not set in an included file ** Note: ""net.ipv6.conf.default.accept_source_route"" May be set in a file that's ignored by load procedure **",No
3.3.9,Network Configuration / Network Kernel Parameters,Ensure suspicious packets are logged.," - ""net.ipv4.conf.all.log_martians"" is incorrectly set to ""0"" in the running configuration and should have a value of: ""1""  - ""net.ipv4.conf.all.log_martians"" is not set in an included file ** Note: ""net.ipv4.conf.all.log_martians"" May be set in a file that's ignored by load procedure **  - ""net.ipv4.conf.default.log_martians"" is incorrectly set to ""0"" in the running configuration and should have a value of: ""1""  - ""net.ipv4.conf.default.log_martians"" is not set in an included file ** Note: ""net.ipv4.conf.default.log_martians"" May be set in a file that's ignored by load procedure **",No
3.3.10,Network Configuration / Network Kernel Parameters,Ensure tcp syn cookies is enabled.," - ""net.ipv4.tcp_syncookies"" is not set in an included file ** Note: ""net.ipv4.tcp_syncookies"" May be set in a file that's ignored by load procedure **",No
3.3.11,Network Configuration / Network Kernel Parameters,Ensure ipv6 router advertisements are not accepted.," - ""net.ipv6.conf.all.accept_ra"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv6.conf.all.accept_ra"" is not set in an included file ** Note: ""net.ipv6.conf.all.accept_ra"" May be set in a file that's ignored by load procedure **  - ""net.ipv6.conf.default.accept_ra"" is incorrectly set to ""1"" in the running configuration and should have a value of: ""0""  - ""net.ipv6.conf.default.accept_ra"" is not set in an included file ** Note: ""net.ipv6.conf.default.accept_ra"" May be set in a file that's ignored by load procedure **",No
4.1.1,Network Configuration / Configure a Firewall Utility,Ensure a single firewall configuration utility is in use.,A single firewall is in use: ufw.,Yes
4.2.1,Network Configuration / Configure UncomplicatedFirewall,Ensure ufw is installed.,ufw is installed.,Yes
4.2.2,Network Configuration / Configure UncomplicatedFirewall,Ensure iptables-persistent is not installed with ufw.,iptables-persistent is not installed.,Yes
4.2.3,Network Configuration / Configure UncomplicatedFirewall,Ensure ufw service is enabled., ufw status is not active.,No
4.2.4,Network Configuration / Configure UncomplicatedFirewall,Ensure ufw loopback traffic is configured., Loopback interface accept rules are not configured in /etc/ufw/before.rules. Deny rule for 127.0.0.0/8 is not configured. Deny rule for ::1 (IPv6) is not configured.,No
4.2.6,Network Configuration / Configure UncomplicatedFirewall,Ensure ufw firewall rules exist for all open ports.,The following port(s) do not have a rule in UFW: 22 53 68,No
4.2.7,Network Configuration / Configure UncomplicatedFirewall,Ensure ufw default deny firewall policy., Incoming default policy is not set to deny or reject. Outgoing default policy is not set to deny or reject. Routed default policy is not set to deny reject or disabled.,No
4.3.1,Network Configuration / Configure nftables,Ensure nftables is installed.,nftables is installed.,Yes
4.3.2,Network Configuration / Configure nftables,Ensure ufw is uninstalled or disabled with nftables.,ufw is installed and active. ufw should be uninstalled or disabled when using nftables.,No
4.3.4,Network Configuration / Configure nftables,Ensure a nftables table exists.,No nftables tables exist. A table must be created for nftables to filter traffic.,No
4.3.5,Network Configuration / Configure nftables,Ensure nftables base chains exist., No base chain with hook input found. No base chain with hook forward found. No base chain with hook output found.,No
4.3.6,Network Configuration / Configure nftables,Ensure nftables loopback traffic is configured.," No loopback interface accept rule (iif ""lo"" accept) found in input hook. No IPv4 loopback drop rule (ip saddr 127.0.0.0/8 drop) found in input hook. No IPv6 loopback drop rule (ip6 saddr ::1 drop) found in input hook.",No
4.3.8,Network Configuration / Configure nftables,Ensure nftables default deny firewall policy., Input hook does not have policy drop. Forward hook does not have policy drop. Output hook does not have policy drop.,No
4.3.9,Network Configuration / Configure nftables,Ensure nftables service is enabled.,nftables service is not enabled.,No
4.3.10,Network Configuration / Configure nftables,Ensure nftables rules are permanent., Input base chain not found in any file included by /etc/nftables.conf. Forward base chain not found in any file included by /etc/nftables.conf. Output base chain not found in any file included by /etc/nftables.conf.,No
4.4.1.1,Network Configuration / Configure iptables,Ensure iptables packages are installed., iptables-persistent is not installed.,No
4.4.1.2,Network Configuration / Configure iptables,Ensure nftables is not in use with iptables.,nftables is installed and active/enabled. nftables should not be used alongside iptables.,No
4.4.1.3,Network Configuration / Configure iptables,Ensure ufw is not in use with iptables.,ufw is installed and active/enabled. ufw should not be used alongside iptables.,No
4.4.2.1,Network Configuration / Configure iptables,Ensure iptables default deny firewall policy., INPUT chain policy is not DROP or REJECT. OUTPUT chain policy is not DROP or REJECT. FORWARD chain policy is not DROP or REJECT.,No
4.4.2.2,Network Configuration / Configure iptables,Ensure iptables loopback traffic is configured., INPUT chain does not accept loopback interface traffic. INPUT chain does not drop traffic sourced from 127.0.0.0/8. OUTPUT chain does not accept loopback interface traffic.,No
4.4.2.4,Network Configuration / Configure iptables,Ensure iptables firewall rules exist for all open ports.,The following port(s) do not have an iptables rule: 22 53 68 ,No
4.4.3.1,Network Configuration / Configure ip6tables,Ensure ip6tables default deny firewall policy.,IPv6 is not enabled on the system. ip6tables check not required.,Yes
4.4.3.2,Network Configuration / Configure ip6tables,Ensure ip6tables loopback traffic is configured.,IPv6 is not enabled on the system. ip6tables loopback check not required.,Yes
4.4.3.4,Network Configuration / Configure ip6tables,Ensure ip6tables firewall rules exist for all open ports.,IPv6 is not enabled on the system. ip6tables open ports check not required.,Yes
5.1.1,Access Control / Configure SSH Server,Ensure permissions on /etc/ssh/sshd_config are configured,Permissions of sshd_config 0600 and ownership of root:root,Yes
5.1.2,Access Control / Configure SSH Server,Ensure access to SSH private host key files is configured.,"SSH private host key files are configured correctly.  File: ""/etc/ssh/ssh_host_ecdsa_key"": Correct mode (0600) owner (root) group (root). File: ""/etc/ssh/ssh_host_ed25519_key"": Correct mode (0600) owner (root) group (root). File: ""/etc/ssh/ssh_host_rsa_key"": Correct mode (0600) owner (root) group (root).",Yes
5.1.3,Access Control / Configure SSH Server,Ensure access to SSH public host key files is configured.,"SSH public host key files are configured correctly.  File: ""/etc/ssh/ssh_host_ed25519_key.pub"": Correct mode (0644)  owner (root)  group (root). File: ""/etc/ssh/ssh_host_ecdsa_key.pub"": Correct mode (0644)  owner (root)  group (root). File: ""/etc/ssh/ssh_host_rsa_key.pub"": Correct mode (0644)  owner (root)  group (root).",Yes
5.1.4,Access Control / Configure SSH Server,Ensure sshd access is configured.,No AllowUsers/AllowGroups/DenyUsers/DenyGroups configured in sshd.,No
5.1.5,Access Control / Configure SSH Server,Ensure sshd Banner is configured., sshd Banner is not set or set to none.,No
5.1.6,Access Control / Configure SSH Server,Ensure sshd Ciphers are configured., Weak cipher(s) found in sshd config: chacha20-poly1305@openssh.com,No
5.1.7,Access Control / Configure SSH Server,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured.," ClientAliveInterval is set to ""0"" - must be greater than 0.",No
5.1.10,Access Control / Configure SSH Server,Ensure sshd HostbasedAuthentication is disabled., HostbasedAuthentication is set to no in sshd running config.,Yes
5.1.11,Access Control / Configure SSH Server,Ensure sshd IgnoreRhosts is enabled., IgnoreRhosts is set to yes in sshd running config.,Yes
5.1.12,Access Control / Configure SSH Server,Ensure sshd KexAlgorithms is configured., No weak KexAlgorithms found. Current KexAlgorithms: sntrup761x25519-sha512@openssh.com;curve25519-sha256;curve25519-sha256@libssh.org;ecdh-sha2-nistp256;ecdh-sha2-nistp384;ecdh-sha2-nistp521;diffie-hellman-group-exchange-sha256;diffie-hellman-group16-sha512;diffie-hellman-group18-sha512;diffie-hellman-group14-sha256,Yes
5.1.13,Access Control / Configure SSH Server,Ensure sshd LoginGraceTime is configured.," LoginGraceTime is set to ""120"" - must be between 1 and 60 seconds per CIS.",No
5.1.14,Access Control / Configure SSH Server,Ensure sshd LogLevel is configured.," LogLevel is set to ""INFO"" which is acceptable (VERBOSE or INFO required).",Yes
5.1.15,Access Control / Configure SSH Server,Ensure sshd MACs are configured., Weak MAC(s) found in sshd config: umac-64-etm@openssh.com umac-128-etm@openssh.com hmac-sha1-etm@openssh.com umac-64@openssh.com umac-128@openssh.com,No
5.1.16,Access Control / Configure SSH Server,Ensure sshd MaxAuthTries is configured.," MaxAuthTries is set to ""6"" - must be 4 or less per CIS.",No
5.1.17,Access Control / Configure SSH Server,Ensure sshd MaxSessions is configured., MaxSessions is set to 10 (10 or less - compliant).,Yes
5.1.18,Access Control / Configure SSH Server,Ensure sshd MaxStartups is configured.," MaxStartups is set to ""10:30:100"" - must be 10:30:60 or more restrictive.",No
5.1.19,Access Control / Configure SSH Server,Ensure sshd PermitEmptyPasswords is disabled., PermitEmptyPasswords is set to no (compliant).,Yes
5.1.20,Access Control / Configure SSH Server,Ensure sshd PermitRootLogin is disabled.," PermitRootLogin is set to ""yes"".",No
5.1.21,Access Control / Configure SSH Server,Ensure sshd PermitUserEnvironment is disabled., PermitUserEnvironment is set to no (compliant).,Yes
5.1.22,Access Control / Configure SSH Server,Ensure sshd UsePAM is enabled., UsePAM is set to yes (compliant).,Yes
5.2.1,Access Control / Configure privilege escalation,Ensure sudo is installed.,sudo is installed.,Yes
5.2.2,Access Control / Configure privilege escalation,Ensure sudo commands use pty.,sudo commands use pty.,Yes
5.2.3,Access Control / Configure privilege escalation,Ensure sudo log file exists.,sudo log file NOT configured.,No
5.2.5,Access Control / Configure privilege escalation,Ensure re-authentication for privilege escalation is not disabled globally.,re-authentication for privilege escalation is disabled globally.,Yes
5.2.6,Access Control / Configure privilege escalation,Ensure sudo timestamp_timeout is configured., timestamp_timeout is not explicitly configured - system default is 15.0 minutes which is compliant per CIS.,Yes
5.2.7,Access Control / Configure privilege escalation,Ensure access to the su command is restricted.,access to the su command is NOT restricted.,No
5.3.1.1,Access Control / Configure PAM,Ensure latest version of pam is installed., libpam-runtime is installed and at the latest available version (version: 1.5.3-5ubuntu5.5).,Yes
5.3.1.2,Access Control / Configure PAM,Ensure latest version of libpam-modules is installed., libpam-modules is installed and at the latest available version (version: 1.5.3-5ubuntu5.5).,Yes
5.3.1.3,Access Control / Configure PAM,Ensure latest version of libpam-pwquality is installed., libpam-pwquality is not installed.,No
5.3.2.1,Access Control / Configure PAM,Ensure pam_unix module is enabled., pam_unix.so is enabled in /etc/pam.d/common-account. pam_unix.so is enabled in /etc/pam.d/common-auth. pam_unix.so is enabled in /etc/pam.d/common-password. pam_unix.so is enabled in /etc/pam.d/common-session. pam_unix.so is enabled in /etc/pam.d/common-session-noninteractive.,Yes
